"","sample","Sphyrna lewini 1","Stegastes arcifrons 1","Mugil thoburni 1","Mugil cephalus 1","Decapterus genus 1","Hemiramphus lutkei 1","Stegastes beebei 1","Sphoeroides annulatus 1","Sardinops genus 1","Euthynnus affinis 1","Scarus ghobban 1","Anisotremus scapularis 1","Muraena lentiginosa 1","Caranx crysos 1","Lutjanus genus 1","Teleophrys cristulipes 1","Grapsus grapsus 1","Pachygrapsus socius 1","Amphipholis squamata 1","Calappa convexa 1","Thunnus genus 1","Selar crumenophthalmus 1","Fistularia commersonii 1","Semicossyphus pulcher 1","Meiosquilla dawsoni 1","Achelous tuberculatus 1","Palaemon ritteri 1","Microcassiope xantusii 1","Abudefduf","Actinopteri","sample_id","Site.Name","nb_reads","nb_motus","Sample.ID","Date.Collected..MM.DD.YYYY.","Time.Net.Set..or.catch.","Island","Species..common.name.","Species..scientific.name.","Spaghetti.Tag.ID","PIT.Tag.ID","Satellite.Tag.ID","Acoustic.Tag.ID","Sex","Lateral..mm.","Girth..mm.","Proximal..mm.","Fork.Length..mm.","Stretched.Total.Length..mm.","Weight..kg.","Blood..Y.N.","Umbilical.Scar..Y.N.","Recapture.Spaghetti.Tag.ID","Recapture.PIT.Tag.ID","Salinity..ppt.","Tide","Water.Temperature..C.","Method.of.Capture","Associated.Water.Sample.IDs","BRUV.File.Name","Assosiated.DNA.Blood.Sample","Fishing.Notes","Swab.Appearence","Date.Extraction.Started","Time.placed.in.incubator.for.Step.2","Placed.in.feezer.after.step.5...Y.N.","If.placed.in.freezer.what.date.","Date.fully.extracted","DNA.Extraction.Notes","Date.of.1st.PCR","X","X.1","X.2","X.3","X.4","X.5"
"31","G024","  1","  0","  0","  0","  0","  0","  2","  3","  0","378","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","G024","Puerto Grande",44728,7,"G24","06/15/2021","9:25","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,530,650,NA,"Y",NA,NA,NA,34.76,"Outgoing",23.95,"Gill Net","GW9, GW10, GW11","merged_6/15/21_Puerto Grande_B2C1; merged_6/15/21_Puerto Grande_B2C2","S24","","Light","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"32","G025","    2","29320","    3","    1","    4","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","G025","La Seca",39738,30,"G25","06/15/2021","9:51","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,530,630,NA,"Y",NA,NA,NA,34.91,"",24.65,"Seine Net","GW12","","S25","Gill parasite","Medium","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"33","G026","    1","    5","35437","   17","    0","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","G026","La Seca",47388,22,"G26","06/15/2021","9:51","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,535,670,NA,"Y",NA,NA,NA,34.91,"",24.65,"Seine Net","GW12","","S26"," ","Medium","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"34","G027","    0","    2","    3","    0","    0","    1","39116","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","G027","La Seca",42081,36,"G27","06/15/2021","9:51","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,585,714,NA,"Y",NA,NA,NA,34.91,"",24.65,"Seine Net","GW12","","S27"," ","Medium","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"35","G028","3","3","4","0","0","0","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","G028","La Seca",13906,13,"G28","06/15/2021","9:51","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,575,680,NA,"Y",NA,NA,NA,34.91,"",24.65,"Seine Net","GW12","","S28"," ","Medium","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"36","G029","  0","  6","  6","646","  0","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","G029","La Seca",4180,9,"G29","06/15/2021","9:51","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,550,690,NA,"Y",NA,NA,NA,34.91,"",24.65,"Seine Net","GW12","","S29"," ","Light","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"37","G030","  2","  1","350","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","G030","La Seca",1017,8,"G30","06/15/2021","9:51","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,580,720,NA,"Y",NA,NA,NA,34.91,"",24.65,"Seine Net","GW12","","S30"," ","Alot","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"38","G031","9","5","4","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G031","La Seca",3434,7,"G31","06/15/2021","9:51","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,555,698,NA,"Y",NA,NA,NA,34.91,"",24.65,"Seine Net","GW12","","S31"," ","Light","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"39","G032","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G032","La Seca",38018,4,"G32","06/15/2021","9:51","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,543,673,NA,"Y",NA,NA,NA,34.91,"",24.65,"Seine Net","GW12","","S32"," ","Light","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"40","G033"," 0","21"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0","G033","La Seca",1061,4,"G33","06/15/2021","9:51","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,577,693,NA,"Y",NA,NA,NA,34.91,"",24.65,"Seine Net","GW12","","S33"," ","Alot","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"41","G034","1","0","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G034","La Tortuga",431,5,"G34","06/17/2021","9:53","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,516,650,NA,"Y",NA,NA,NA,34.35,"Outgoing",23.91,"Gill Net","","merged_6/17/21_La Tortuga_B2C1; merged_6/17/21_La Tortuga_B2C2","S34"," ","Medium","6/17/21","4:30 PM","N","","6/19/21","",NA,NA,NA,NA,NA,NA,NA
"42","G035"," 0"," 0"," 1"," 1"," 0"," 1","23"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","G035","Cerro Brujo",39997,6,"G35","06/17/2021","12:55","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,535,675,NA,"Y",NA,NA,NA,34.91,"",25.88,"Gill Net","","","S35","Recaptured and struggled a bit but survived","Light","6/17/21","4:30 PM","N","","6/19/21","",NA,NA,NA,NA,NA,NA,NA
"43","G036","    2","    0","19538","    0","    0","    0","    2","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","G036","Rosa Blanca 1",54364,18,"G36","06/23/2021","6:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,535,670,NA,"Y",NA,NA,NA,32.59,"Outgoing",23.33,"Seine Net","","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","S36","","Medium","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"44","G037","0","1","9","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","G037","Rosa Blanca 1",25512,6,"G37","06/23/2021","6:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,560,701,NA,"Y",NA,NA,NA,32.59,"Outgoing",23.33,"Seine Net","","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","S37","","Light","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"45","G038","   3","   0","8436"," 142","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","G038","Rosa Blanca 1",42946,19,"G38","06/23/2021","6:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,530,660,NA,"Y",NA,NA,NA,32.59,"Outgoing",23.33,"Seine Net","","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","S38","","Light","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"46","G039","    3","    2","29743","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","G039","Rosa Blanca 1",48364,20,"G39","06/23/2021","6:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,532,676,NA,"Y",NA,NA,NA,32.59,"Outgoing",23.33,"Seine Net","","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","S39","","Alot","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"47","G040","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","G040","Rosa Blanca 1",43205,4,"G40","06/23/2021","6:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,538,685,NA,"Y",NA,NA,NA,32.59,"Outgoing",23.33,"Seine Net","","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","S40","","Light","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"48","G041"," 0"," 4","31"," 0"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0","G041","Rosa Blanca 1",32701,6,"G41","06/23/2021","6:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,570,720,NA,"Y",NA,NA,NA,32.59,"Outgoing",23.33,"Seine Net","","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","S41","","Light with Mucus","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"49","G042","   2","   0"," 375","2157","   0","   2","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","G042","Rosa Blanca 1",3563,14,"G42","06/23/2021","6:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,533,684,NA,"Y",NA,NA,NA,32.59,"Outgoing",23.33,"Seine Net","","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","S42","","Alot","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"50","G043","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G043","Rosa Blanca 1",3348,4,"G43","06/23/2021","6:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,554,686,NA,"Y",NA,NA,NA,32.59,"Outgoing",23.33,"Seine Net","","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","S43","","None","6/23/21","6:30 PM","N","","6/24/21","Almost fully evaporated after step 2 so added 325ul of PCR water",NA,NA,NA,NA,NA,NA,NA
"51","G044","3","2","3","0","0","0","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","G044","Rosa Blanca 2",44619,8,"G44","06/23/2021","10:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,550,660,NA,"Y",NA,NA,NA,34.07,"Incoming",24.58,"Gill Net","","","S44","","Medium","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"52","G045","   0","   3","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","2284"," 272","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","G045","Rosa Blanca 2",3082,8,"G45","06/23/2021","10:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,600,750,NA,"Y",NA,NA,NA,34.07,"Incoming",24.58,"Gill Net","","","S45","","Alot","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"53","G046","  3","  5"," 25","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","118","  0","G046","Rosa Blanca 2",2161,9,"G46","06/23/2021","10:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,554,700,NA,"Y",NA,NA,NA,34.07,"Incoming",24.58,"Gill Net","","","S46","","Alot","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"54","G047","    5","36638","   56","    2","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   42","    0","G047","Rosa Blanca 2",49885,32,"G47","06/23/2021","10:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,578,709,NA,"Y",NA,NA,NA,34.07,"Incoming",24.58,"Gill Net","","","S47","","Medium","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"55","G048","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G048","Rosa Blanca 2",27550,2,"G48","06/23/2021","10:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,530,620,NA,"Y",NA,NA,NA,34.07,"Incoming",24.58,"Gill Net","","","S48","","Light","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"56","G049","1","3","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","G049","Rosa Blanca 2",10677,6,"G49","06/23/2021","10:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,552,685,NA,"Y",NA,NA,NA,34.07,"Incoming",24.58,"Gill Net","","","S49","","Light","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"57","G050","    1","    4","33676","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","G050","Cerro Brujo",34538,13,"G50","06/25/2021","8:19","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,630,790,NA,"Y",NA,NA,NA,34.89,"Outgoing",23.32,"Gill Net","","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","S50","","Light","6/25/21","5:54 PM","N","","6/26/21","",NA,NA,NA,NA,NA,NA,NA
"58","G051","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","G051","Cerro Brujo",67407,6,"G51","06/25/2021","8:19","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,580,720,NA,"Y",NA,NA,NA,34.89,"Outgoing",23.32,"Gill Net","","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","S51","","None","6/25/21","5:54 PM","N","","6/26/21","",NA,NA,NA,NA,NA,NA,NA
"59","G053","    5","    1","    5","    0","    0","    0","    5","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","75603","    0","G053","Cerro Brujo",77675,24,"G53","06/25/2021","8:19","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,590,730,NA,"Y",NA,NA,NA,34.89,"Outgoing",23.32,"Gill Net","","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","S53","Blood didn't separate all the way when spun","Light","6/25/21","5:54 PM","N","","6/26/21","",NA,NA,NA,NA,NA,NA,NA
"60","G054","    0","   11","28882","    0","    0","    1","  861","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","G054","Cerro Brujo",43522,38,"G54","06/25/2021","8:19","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,540,680,NA,"Y",NA,NA,NA,34.89,"Outgoing",23.32,"Gill Net","","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","S54","","Medium","6/25/21","5:54 PM","N","","6/26/21","",NA,NA,NA,NA,NA,NA,NA
"61","G055"," 1"," 0","27"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0","G055","Cerro Brujo",20481,7,"G55","06/25/2021","8:19","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,750,940,NA,"Y",NA,NA,NA,34.89,"Outgoing",23.32,"Gill Net","","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","S55","","Light","6/25/21","5:54 PM","N","","6/26/21","",NA,NA,NA,NA,NA,NA,NA
"62","G056","12"," 2"," 9"," 1"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0","G056","Cerro Brujo",1327,8,"G56","06/25/2021","8:19","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,600,820,NA,"Y",NA,NA,NA,34.89,"Outgoing",23.32,"Gill Net","","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","S56","Made weird noise with mouth, kind of seemed like it was seizing","Alot","6/25/21","5:54 PM","N","","6/26/21","",NA,NA,NA,NA,NA,NA,NA
"63","G057","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","G057","Cerro Brujo",35553,4,"G57","06/25/2021","8:19","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,560,700,NA,"Y",NA,NA,NA,34.89,"Outgoing",23.32,"Gill Net","","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","S57","","None","6/25/21","5:54 PM","N","","6/26/21","",NA,NA,NA,NA,NA,NA,NA
"64","G062","    4","57697","   87","   77","    0","    2","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","G062","Puerto Grande",63308,28,"G62","06/27/2021","5:55","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,600,710,NA,"Y",NA,NA,NA,35.06,"Outgoing",22.25,"Gill Net","","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","S62","","Light","7/19/21","2:45 PM","N","","","",NA,NA,NA,NA,NA,NA,NA
"65","G063","  3"," 27","138","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 86","  0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","G064"," 10","  2","175","177","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","172","595","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","G065","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","G066","  3","  5","  3","  0","  6","  0","  2","  0","  0","  0","  0","  0","885","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
